================ Training Loss (Sun Oct 12 00:50:40 2025) ================
================ Training Loss (Sun Oct 12 01:12:40 2025) ================
[Rank 0] (epoch: 2, iters: 228, time: 0.018, data: 0.001) , G_GAN: 0.692, G_L1: 13.385, D_real: 0.701, D_fake: 0.360

[Rank 0] (epoch: 2, iters: 328, time: 0.022, data: 0.001) , G_GAN: 1.928, G_L1: 18.254, D_real: 0.309, D_fake: 0.214

[Rank 0] (epoch: 2, iters: 428, time: 0.018, data: 0.001) , G_GAN: 0.851, G_L1: 12.878, D_real: 0.462, D_fake: 0.823

[Rank 0] (epoch: 2, iters: 528, time: 0.018, data: 0.001) , G_GAN: 1.675, G_L1: 14.663, D_real: 0.329, D_fake: 0.419

[Rank 0] (epoch: 2, iters: 628, time: 0.018, data: 0.002) , G_GAN: 0.945, G_L1: 13.759, D_real: 0.628, D_fake: 0.205

[Rank 0] (epoch: 2, iters: 728, time: 0.022, data: 0.001) , G_GAN: 0.596, G_L1: 13.973, D_real: 1.039, D_fake: 0.379

[Rank 0] (epoch: 2, iters: 828, time: 0.018, data: 0.001) , G_GAN: 0.442, G_L1: 13.714, D_real: 0.947, D_fake: 0.265

[Rank 0] (epoch: 2, iters: 928, time: 0.018, data: 0.001) , G_GAN: 1.975, G_L1: 15.607, D_real: 0.337, D_fake: 0.781

[Rank 0] (epoch: 2, iters: 1028, time: 0.018, data: 0.001) , G_GAN: 0.276, G_L1: 12.872, D_real: 1.235, D_fake: 0.322

[Rank 0] (epoch: 2, iters: 1128, time: 0.019, data: 0.001) , G_GAN: 1.758, G_L1: 11.208, D_real: 0.174, D_fake: 0.617

[Rank 0] (epoch: 2, iters: 1228, time: 0.018, data: 0.001) , G_GAN: 1.927, G_L1: 16.069, D_real: 0.289, D_fake: 0.618

[Rank 0] (epoch: 2, iters: 1328, time: 0.019, data: 0.001) , G_GAN: 1.094, G_L1: 16.462, D_real: 0.351, D_fake: 0.310

[Rank 0] (epoch: 2, iters: 1428, time: 0.018, data: 0.001) , G_GAN: 1.757, G_L1: 13.870, D_real: 0.114, D_fake: 0.611

[Rank 0] (epoch: 2, iters: 1528, time: 0.018, data: 0.001) , G_GAN: 1.183, G_L1: 15.682, D_real: 0.466, D_fake: 0.438

[Rank 0] (epoch: 2, iters: 1628, time: 0.019, data: 0.001) , G_GAN: 0.320, G_L1: 13.762, D_real: 1.012, D_fake: 0.399

[Rank 0] (epoch: 2, iters: 1728, time: 0.018, data: 0.001) , G_GAN: 1.753, G_L1: 13.018, D_real: 0.224, D_fake: 0.679

[Rank 0] (epoch: 2, iters: 1828, time: 0.019, data: 0.001) , G_GAN: 1.606, G_L1: 12.995, D_real: 0.283, D_fake: 0.916

[Rank 0] (epoch: 2, iters: 1928, time: 0.018, data: 0.001) , G_GAN: 2.203, G_L1: 17.524, D_real: 0.192, D_fake: 0.223

[Rank 0] (epoch: 2, iters: 2028, time: 0.018, data: 0.002) , G_GAN: 2.256, G_L1: 14.233, D_real: 0.270, D_fake: 0.600

[Rank 0] (epoch: 2, iters: 2128, time: 0.018, data: 0.001) , G_GAN: 1.968, G_L1: 13.913, D_real: 0.201, D_fake: 0.456

[Rank 0] (epoch: 2, iters: 2228, time: 0.018, data: 0.001) , G_GAN: 0.227, G_L1: 11.821, D_real: 0.996, D_fake: 0.340

[Rank 0] (epoch: 2, iters: 2328, time: 0.019, data: 0.001) , G_GAN: 1.216, G_L1: 13.892, D_real: 0.568, D_fake: 0.579

[Rank 0] (epoch: 2, iters: 2428, time: 0.018, data: 0.001) , G_GAN: 0.215, G_L1: 12.270, D_real: 1.677, D_fake: 0.176

[Rank 0] (epoch: 2, iters: 2528, time: 0.018, data: 0.001) , G_GAN: 1.017, G_L1: 15.908, D_real: 0.887, D_fake: 0.185

[Rank 0] (epoch: 2, iters: 2628, time: 0.018, data: 0.001) , G_GAN: 1.501, G_L1: 13.785, D_real: 0.566, D_fake: 0.169

[Rank 0] (epoch: 2, iters: 2728, time: 0.023, data: 0.001) , G_GAN: 1.296, G_L1: 17.480, D_real: 0.302, D_fake: 0.435

[Rank 0] (epoch: 2, iters: 2828, time: 0.019, data: 0.002) , G_GAN: 0.928, G_L1: 11.960, D_real: 0.949, D_fake: 0.167

[Rank 0] (epoch: 2, iters: 2928, time: 0.018, data: 0.001) , G_GAN: 1.518, G_L1: 11.762, D_real: 0.199, D_fake: 0.269

[Rank 0] (epoch: 2, iters: 3028, time: 0.018, data: 0.001) , G_GAN: 1.723, G_L1: 15.794, D_real: 0.485, D_fake: 1.376

[Rank 0] (epoch: 2, iters: 3128, time: 0.019, data: 0.001) , G_GAN: 1.118, G_L1: 14.405, D_real: 0.498, D_fake: 0.329

[Rank 0] (epoch: 2, iters: 3228, time: 0.018, data: 0.001) , G_GAN: 1.636, G_L1: 12.423, D_real: 0.393, D_fake: 0.620

[Rank 0] (epoch: 2, iters: 3328, time: 0.018, data: 0.001) , G_GAN: 0.575, G_L1: 12.648, D_real: 0.941, D_fake: 0.264

[Rank 0] (epoch: 2, iters: 3428, time: 0.019, data: 0.001) , G_GAN: 1.644, G_L1: 16.024, D_real: 0.401, D_fake: 0.704

[Rank 0] (epoch: 2, iters: 3528, time: 0.018, data: 0.001) , G_GAN: 1.399, G_L1: 12.118, D_real: 0.427, D_fake: 0.253

[Rank 0] (epoch: 2, iters: 3628, time: 0.018, data: 0.001) , G_GAN: 0.314, G_L1: 13.952, D_real: 1.894, D_fake: 0.878

[Rank 0] (epoch: 2, iters: 3728, time: 0.018, data: 0.001) , G_GAN: 1.776, G_L1: 14.574, D_real: 0.535, D_fake: 1.118

[Rank 0] (epoch: 2, iters: 3828, time: 0.018, data: 0.001) , G_GAN: 1.120, G_L1: 12.743, D_real: 0.682, D_fake: 0.430

[Rank 0] (epoch: 2, iters: 3928, time: 0.018, data: 0.001) , G_GAN: 1.004, G_L1: 11.788, D_real: 0.615, D_fake: 0.875

[Rank 0] (epoch: 2, iters: 4028, time: 0.018, data: 0.001) , G_GAN: 1.458, G_L1: 12.797, D_real: 0.309, D_fake: 0.613

[Rank 0] (epoch: 2, iters: 4128, time: 0.019, data: 0.001) , G_GAN: 1.459, G_L1: 13.405, D_real: 0.397, D_fake: 0.634

[Rank 0] (epoch: 2, iters: 4228, time: 0.018, data: 0.001) , G_GAN: 1.130, G_L1: 12.098, D_real: 0.499, D_fake: 0.618

[Rank 0] (epoch: 2, iters: 4328, time: 0.018, data: 0.001) , G_GAN: 0.761, G_L1: 14.620, D_real: 1.393, D_fake: 0.697

[Rank 0] (epoch: 2, iters: 4428, time: 0.018, data: 0.001) , G_GAN: 1.647, G_L1: 14.683, D_real: 0.367, D_fake: 0.458

[Rank 0] (epoch: 2, iters: 4528, time: 0.018, data: 0.001) , G_GAN: 0.599, G_L1: 13.420, D_real: 0.847, D_fake: 0.621

[Rank 0] (epoch: 2, iters: 4628, time: 0.019, data: 0.001) , G_GAN: 0.463, G_L1: 14.240, D_real: 1.137, D_fake: 0.333

[Rank 0] (epoch: 2, iters: 4728, time: 0.021, data: 0.001) , G_GAN: 0.558, G_L1: 12.087, D_real: 0.655, D_fake: 0.565

[Rank 0] (epoch: 2, iters: 4828, time: 0.018, data: 0.001) , G_GAN: 0.461, G_L1: 15.179, D_real: 1.190, D_fake: 0.408

[Rank 0] (epoch: 2, iters: 4928, time: 0.018, data: 0.001) , G_GAN: 1.192, G_L1: 13.572, D_real: 0.494, D_fake: 0.344

[Rank 0] (epoch: 2, iters: 5028, time: 0.018, data: 0.001) , G_GAN: 0.245, G_L1: 12.572, D_real: 1.059, D_fake: 0.323

[Rank 0] (epoch: 2, iters: 5128, time: 0.018, data: 0.001) , G_GAN: 0.317, G_L1: 12.763, D_real: 1.320, D_fake: 0.291

[Rank 0] (epoch: 2, iters: 5228, time: 0.018, data: 0.001) , G_GAN: 0.828, G_L1: 14.485, D_real: 0.664, D_fake: 0.215

[Rank 0] (epoch: 3, iters: 56, time: 0.019, data: 0.001) , G_GAN: 1.256, G_L1: 14.566, D_real: 0.575, D_fake: 0.651

[Rank 0] (epoch: 3, iters: 156, time: 0.018, data: 0.002) , G_GAN: 0.659, G_L1: 14.270, D_real: 1.503, D_fake: 0.377

[Rank 0] (epoch: 3, iters: 256, time: 0.023, data: 0.001) , G_GAN: 1.670, G_L1: 13.899, D_real: 0.145, D_fake: 0.690

[Rank 0] (epoch: 3, iters: 356, time: 0.018, data: 0.001) , G_GAN: 1.708, G_L1: 13.352, D_real: 0.177, D_fake: 0.692

[Rank 0] (epoch: 3, iters: 456, time: 0.019, data: 0.001) , G_GAN: 1.442, G_L1: 14.528, D_real: 0.333, D_fake: 0.901

[Rank 0] (epoch: 3, iters: 556, time: 0.018, data: 0.001) , G_GAN: 0.888, G_L1: 12.864, D_real: 0.636, D_fake: 0.270

[Rank 0] (epoch: 3, iters: 656, time: 0.018, data: 0.001) , G_GAN: 1.242, G_L1: 12.693, D_real: 0.454, D_fake: 0.413

[Rank 0] (epoch: 3, iters: 756, time: 0.018, data: 0.001) , G_GAN: 2.184, G_L1: 14.489, D_real: 0.046, D_fake: 0.744

[Rank 0] (epoch: 3, iters: 856, time: 0.018, data: 0.001) , G_GAN: 0.804, G_L1: 15.648, D_real: 1.155, D_fake: 0.328

[Rank 0] (epoch: 3, iters: 956, time: 0.019, data: 0.001) , G_GAN: 1.176, G_L1: 14.991, D_real: 0.546, D_fake: 0.444

[Rank 0] (epoch: 3, iters: 1056, time: 0.018, data: 0.001) , G_GAN: 0.763, G_L1: 14.819, D_real: 2.748, D_fake: 0.613

[Rank 0] (epoch: 3, iters: 1156, time: 0.018, data: 0.001) , G_GAN: 0.715, G_L1: 13.569, D_real: 1.008, D_fake: 0.659

[Rank 0] (epoch: 3, iters: 1256, time: 0.018, data: 0.001) , G_GAN: 0.351, G_L1: 17.534, D_real: 1.521, D_fake: 0.485

[Rank 0] (epoch: 3, iters: 1356, time: 0.018, data: 0.001) , G_GAN: 0.634, G_L1: 12.163, D_real: 0.970, D_fake: 0.409

[Rank 0] (epoch: 3, iters: 1456, time: 0.022, data: 0.001) , G_GAN: 0.632, G_L1: 13.647, D_real: 0.768, D_fake: 0.282

[Rank 0] (epoch: 3, iters: 1556, time: 0.018, data: 0.001) , G_GAN: 0.581, G_L1: 13.002, D_real: 1.308, D_fake: 0.497

[Rank 0] (epoch: 3, iters: 1656, time: 0.018, data: 0.002) , G_GAN: 0.868, G_L1: 12.746, D_real: 0.618, D_fake: 0.635

[Rank 0] (epoch: 3, iters: 1756, time: 0.019, data: 0.001) , G_GAN: 0.916, G_L1: 12.498, D_real: 0.794, D_fake: 0.500

[Rank 0] (epoch: 3, iters: 1856, time: 0.018, data: 0.001) , G_GAN: 1.394, G_L1: 13.728, D_real: 0.427, D_fake: 0.478

[Rank 0] (epoch: 3, iters: 1956, time: 0.018, data: 0.001) , G_GAN: 1.146, G_L1: 12.759, D_real: 0.459, D_fake: 0.745

[Rank 0] (epoch: 3, iters: 2056, time: 0.018, data: 0.001) , G_GAN: 0.959, G_L1: 12.527, D_real: 0.374, D_fake: 0.326

[Rank 0] (epoch: 3, iters: 2156, time: 0.019, data: 0.001) , G_GAN: 0.594, G_L1: 13.702, D_real: 0.834, D_fake: 0.400

[Rank 0] (epoch: 3, iters: 2256, time: 0.018, data: 0.001) , G_GAN: 1.323, G_L1: 13.919, D_real: 0.436, D_fake: 0.922

[Rank 0] (epoch: 3, iters: 2356, time: 0.019, data: 0.001) , G_GAN: 0.513, G_L1: 11.849, D_real: 1.188, D_fake: 1.195

[Rank 0] (epoch: 3, iters: 2456, time: 0.019, data: 0.001) , G_GAN: 2.329, G_L1: 12.730, D_real: 0.197, D_fake: 0.730

[Rank 0] (epoch: 3, iters: 2556, time: 0.019, data: 0.001) , G_GAN: 1.541, G_L1: 12.454, D_real: 0.230, D_fake: 0.814

[Rank 0] (epoch: 3, iters: 2656, time: 0.018, data: 0.001) , G_GAN: 1.401, G_L1: 11.891, D_real: 0.404, D_fake: 0.709

[Rank 0] (epoch: 3, iters: 2756, time: 0.018, data: 0.001) , G_GAN: 1.375, G_L1: 13.733, D_real: 0.405, D_fake: 0.392

[Rank 0] (epoch: 3, iters: 2856, time: 0.019, data: 0.001) , G_GAN: 1.074, G_L1: 12.551, D_real: 0.470, D_fake: 0.825

[Rank 0] (epoch: 3, iters: 2956, time: 0.018, data: 0.001) , G_GAN: 2.015, G_L1: 16.259, D_real: 0.312, D_fake: 0.614

[Rank 0] (epoch: 3, iters: 3056, time: 0.019, data: 0.001) , G_GAN: 0.764, G_L1: 14.486, D_real: 0.857, D_fake: 1.049

[Rank 0] (epoch: 3, iters: 3156, time: 0.018, data: 0.001) , G_GAN: 0.897, G_L1: 14.032, D_real: 0.866, D_fake: 0.871

[Rank 0] (epoch: 3, iters: 3256, time: 0.019, data: 0.001) , G_GAN: 0.427, G_L1: 13.976, D_real: 1.029, D_fake: 0.450

[Rank 0] (epoch: 3, iters: 3356, time: 0.019, data: 0.001) , G_GAN: 0.373, G_L1: 11.939, D_real: 1.226, D_fake: 0.214

[Rank 0] (epoch: 3, iters: 3456, time: 0.021, data: 0.001) , G_GAN: 0.767, G_L1: 13.831, D_real: 0.495, D_fake: 0.533

[Rank 0] (epoch: 3, iters: 3556, time: 0.018, data: 0.001) , G_GAN: 0.965, G_L1: 13.523, D_real: 0.264, D_fake: 0.533

[Rank 0] (epoch: 3, iters: 3656, time: 0.018, data: 0.001) , G_GAN: 1.016, G_L1: 12.612, D_real: 0.468, D_fake: 0.822

[Rank 0] (epoch: 3, iters: 3756, time: 0.018, data: 0.001) , G_GAN: 1.946, G_L1: 13.429, D_real: 0.170, D_fake: 0.858

[Rank 0] (epoch: 3, iters: 3856, time: 0.017, data: 0.001) , G_GAN: 1.970, G_L1: 14.074, D_real: 0.209, D_fake: 0.457

[Rank 0] (epoch: 3, iters: 3956, time: 0.018, data: 0.001) , G_GAN: 2.149, G_L1: 14.970, D_real: 0.229, D_fake: 0.438

[Rank 0] (epoch: 3, iters: 4056, time: 0.018, data: 0.001) , G_GAN: 0.718, G_L1: 12.106, D_real: 1.103, D_fake: 0.818

[Rank 0] (epoch: 3, iters: 4156, time: 0.017, data: 0.002) , G_GAN: 1.398, G_L1: 16.632, D_real: 0.233, D_fake: 0.533

[Rank 0] (epoch: 3, iters: 4256, time: 0.018, data: 0.001) , G_GAN: 1.596, G_L1: 12.302, D_real: 0.295, D_fake: 1.174

[Rank 0] (epoch: 3, iters: 4356, time: 0.018, data: 0.002) , G_GAN: 0.869, G_L1: 13.959, D_real: 1.035, D_fake: 0.912

[Rank 0] (epoch: 3, iters: 4456, time: 0.018, data: 0.001) , G_GAN: 1.072, G_L1: 11.492, D_real: 0.771, D_fake: 0.402

[Rank 0] (epoch: 3, iters: 4556, time: 0.018, data: 0.003) , G_GAN: 2.034, G_L1: 15.285, D_real: 0.285, D_fake: 0.430

[Rank 0] (epoch: 3, iters: 4656, time: 0.019, data: 0.001) , G_GAN: 0.929, G_L1: 13.656, D_real: 0.554, D_fake: 0.387

[Rank 0] (epoch: 3, iters: 4756, time: 0.018, data: 0.001) , G_GAN: 1.206, G_L1: 12.314, D_real: 0.569, D_fake: 0.251

[Rank 0] (epoch: 3, iters: 4856, time: 0.018, data: 0.001) , G_GAN: 0.528, G_L1: 13.208, D_real: 0.861, D_fake: 0.368

[Rank 0] (epoch: 3, iters: 4956, time: 0.019, data: 0.001) , G_GAN: 0.355, G_L1: 12.442, D_real: 1.140, D_fake: 0.388

[Rank 0] (epoch: 3, iters: 5056, time: 0.019, data: 0.001) , G_GAN: 0.567, G_L1: 11.716, D_real: 0.949, D_fake: 0.526

[Rank 0] (epoch: 3, iters: 5156, time: 0.018, data: 0.001) , G_GAN: 1.122, G_L1: 13.134, D_real: 0.736, D_fake: 0.356

[Rank 0] (epoch: 3, iters: 5256, time: 0.018, data: 0.001) , G_GAN: 1.609, G_L1: 14.074, D_real: 0.277, D_fake: 0.643

[Rank 0] (epoch: 4, iters: 84, time: 0.018, data: 0.002) , G_GAN: 1.155, G_L1: 13.327, D_real: 0.260, D_fake: 0.693

[Rank 0] (epoch: 4, iters: 184, time: 0.022, data: 0.001) , G_GAN: 0.880, G_L1: 13.855, D_real: 0.729, D_fake: 0.366

[Rank 0] (epoch: 4, iters: 284, time: 0.019, data: 0.001) , G_GAN: 0.477, G_L1: 13.244, D_real: 1.025, D_fake: 0.937

[Rank 0] (epoch: 4, iters: 384, time: 0.018, data: 0.001) , G_GAN: 1.892, G_L1: 14.710, D_real: 0.145, D_fake: 0.273

[Rank 0] (epoch: 4, iters: 484, time: 0.019, data: 0.001) , G_GAN: 1.699, G_L1: 13.284, D_real: 0.114, D_fake: 1.148

[Rank 0] (epoch: 4, iters: 584, time: 0.019, data: 0.001) , G_GAN: 1.179, G_L1: 12.996, D_real: 0.347, D_fake: 0.433

[Rank 0] (epoch: 4, iters: 684, time: 0.018, data: 0.001) , G_GAN: 1.156, G_L1: 16.608, D_real: 0.893, D_fake: 0.315

[Rank 0] (epoch: 4, iters: 784, time: 0.018, data: 0.001) , G_GAN: 1.329, G_L1: 15.764, D_real: 0.831, D_fake: 0.328

[Rank 0] (epoch: 4, iters: 884, time: 0.019, data: 0.001) , G_GAN: 1.607, G_L1: 13.363, D_real: 0.366, D_fake: 1.305

[Rank 0] (epoch: 4, iters: 984, time: 0.018, data: 0.001) , G_GAN: 1.598, G_L1: 12.825, D_real: 0.608, D_fake: 0.187

[Rank 0] (epoch: 4, iters: 1084, time: 0.018, data: 0.001) , G_GAN: 0.850, G_L1: 11.275, D_real: 0.692, D_fake: 0.679

[Rank 0] (epoch: 4, iters: 1184, time: 0.018, data: 0.001) , G_GAN: 1.177, G_L1: 12.449, D_real: 0.304, D_fake: 0.780

[Rank 0] (epoch: 4, iters: 1284, time: 0.018, data: 0.001) , G_GAN: 1.950, G_L1: 14.935, D_real: 0.107, D_fake: 0.495

[Rank 0] (epoch: 4, iters: 1384, time: 0.018, data: 0.001) , G_GAN: 1.611, G_L1: 15.370, D_real: 0.176, D_fake: 1.187

[Rank 0] (epoch: 4, iters: 1484, time: 0.019, data: 0.001) , G_GAN: 0.450, G_L1: 14.055, D_real: 0.747, D_fake: 0.395

[Rank 0] (epoch: 4, iters: 1584, time: 0.018, data: 0.003) , G_GAN: 1.671, G_L1: 13.463, D_real: 0.190, D_fake: 0.396

[Rank 0] (epoch: 4, iters: 1684, time: 0.018, data: 0.001) , G_GAN: 0.982, G_L1: 17.314, D_real: 0.696, D_fake: 1.048

[Rank 0] (epoch: 4, iters: 1784, time: 0.018, data: 0.001) , G_GAN: 0.888, G_L1: 14.156, D_real: 0.787, D_fake: 0.378

